"","Fecha","sitio","Longitud","Latitud","PM10","Tabla$sitio"
"106",2023-01-05 09:00:00,"Belfast Centre",-5.928833,54.59965,41.275,"Belfast Centre"
"107",2023-01-05 10:00:00,"Belfast Centre",-5.928833,54.59965,13.15,"Belfast Centre"
"108",2023-01-05 11:00:00,"Belfast Centre",-5.928833,54.59965,9.35,"Belfast Centre"
"109",2023-01-05 12:00:00,"Belfast Centre",-5.928833,54.59965,27.95,"Belfast Centre"
"110",2023-01-05 13:00:00,"Belfast Centre",-5.928833,54.59965,36.45,"Belfast Centre"
"111",2023-01-05 14:00:00,"Belfast Centre",-5.928833,54.59965,89.15,"Belfast Centre"
"112",2023-01-05 15:00:00,"Belfast Centre",-5.928833,54.59965,8.475,"Belfast Centre"
"113",2023-01-05 16:00:00,"Belfast Centre",-5.928833,54.59965,11.025,"Belfast Centre"
"114",2023-01-05 17:00:00,"Belfast Centre",-5.928833,54.59965,15.275,"Belfast Centre"
"115",2023-01-05 18:00:00,"Belfast Centre",-5.928833,54.59965,13.5,"Belfast Centre"
"116",2023-01-05 19:00:00,"Belfast Centre",-5.928833,54.59965,14.975,"Belfast Centre"
"117",2023-01-05 20:00:00,"Belfast Centre",-5.928833,54.59965,14.9,"Belfast Centre"
"118",2023-01-05 21:00:00,"Belfast Centre",-5.928833,54.59965,13.8,"Belfast Centre"
"119",2023-01-05 22:00:00,"Belfast Centre",-5.928833,54.59965,12.95,"Belfast Centre"
"120",2023-01-05 23:00:00,"Belfast Centre",-5.928833,54.59965,11.275,"Belfast Centre"
"121",2023-01-06 00:00:00,"Belfast Centre",-5.928833,54.59965,10.75,"Belfast Centre"
"122",2023-01-06 01:00:00,"Belfast Centre",-5.928833,54.59965,10.625,"Belfast Centre"
"123",2023-01-06 02:00:00,"Belfast Centre",-5.928833,54.59965,10.275,"Belfast Centre"
"124",2023-01-06 03:00:00,"Belfast Centre",-5.928833,54.59965,12.05,"Belfast Centre"
"125",2023-01-06 04:00:00,"Belfast Centre",-5.928833,54.59965,11.95,"Belfast Centre"
"126",2023-01-06 05:00:00,"Belfast Centre",-5.928833,54.59965,9.875,"Belfast Centre"
"127",2023-01-06 06:00:00,"Belfast Centre",-5.928833,54.59965,10.2,"Belfast Centre"
"128",2023-01-06 07:00:00,"Belfast Centre",-5.928833,54.59965,17.525,"Belfast Centre"
"129",2023-01-06 08:00:00,"Belfast Centre",-5.928833,54.59965,32.9,"Belfast Centre"
"130",2023-01-06 09:00:00,"Belfast Centre",-5.928833,54.59965,18.375,"Belfast Centre"
"131",2023-01-06 10:00:00,"Belfast Centre",-5.928833,54.59965,24.3,"Belfast Centre"
"132",2023-01-06 11:00:00,"Belfast Centre",-5.928833,54.59965,24.025,"Belfast Centre"
"133",2023-01-06 12:00:00,"Belfast Centre",-5.928833,54.59965,31.95,"Belfast Centre"
"134",2023-01-06 13:00:00,"Belfast Centre",-5.928833,54.59965,13.125,"Belfast Centre"
"135",2023-01-06 14:00:00,"Belfast Centre",-5.928833,54.59965,184.55,"Belfast Centre"
"136",2023-01-06 15:00:00,"Belfast Centre",-5.928833,54.59965,16.125,"Belfast Centre"
"137",2023-01-06 16:00:00,"Belfast Centre",-5.928833,54.59965,11.725,"Belfast Centre"
"138",2023-01-06 17:00:00,"Belfast Centre",-5.928833,54.59965,15.675,"Belfast Centre"
"139",2023-01-06 18:00:00,"Belfast Centre",-5.928833,54.59965,15.825,"Belfast Centre"
"140",2023-01-06 19:00:00,"Belfast Centre",-5.928833,54.59965,16.75,"Belfast Centre"
"141",2023-01-06 20:00:00,"Belfast Centre",-5.928833,54.59965,8.875,"Belfast Centre"
"142",2023-01-06 21:00:00,"Belfast Centre",-5.928833,54.59965,4.1,"Belfast Centre"
"143",2023-01-06 22:00:00,"Belfast Centre",-5.928833,54.59965,7.125,"Belfast Centre"
"144",2023-01-06 23:00:00,"Belfast Centre",-5.928833,54.59965,6.15,"Belfast Centre"
"145",2023-01-07 00:00:00,"Belfast Centre",-5.928833,54.59965,4.1,"Belfast Centre"
"146",2023-01-07 01:00:00,"Belfast Centre",-5.928833,54.59965,2.95,"Belfast Centre"
"147",2023-01-07 02:00:00,"Belfast Centre",-5.928833,54.59965,3.575,"Belfast Centre"
"148",2023-01-07 03:00:00,"Belfast Centre",-5.928833,54.59965,3.125,"Belfast Centre"
"149",2023-01-07 04:00:00,"Belfast Centre",-5.928833,54.59965,4.325,"Belfast Centre"
"150",2023-01-07 05:00:00,"Belfast Centre",-5.928833,54.59965,4.75,"Belfast Centre"
"151",2023-01-07 06:00:00,"Belfast Centre",-5.928833,54.59965,6.025,"Belfast Centre"
"152",2023-01-07 07:00:00,"Belfast Centre",-5.928833,54.59965,6.5,"Belfast Centre"
"153",2023-01-07 08:00:00,"Belfast Centre",-5.928833,54.59965,8,"Belfast Centre"
"154",2023-01-07 09:00:00,"Belfast Centre",-5.928833,54.59965,9.575,"Belfast Centre"
"155",2023-01-07 10:00:00,"Belfast Centre",-5.928833,54.59965,11.175,"Belfast Centre"
"156",2023-01-07 11:00:00,"Belfast Centre",-5.928833,54.59965,11.9,"Belfast Centre"
"157",2023-01-07 12:00:00,"Belfast Centre",-5.928833,54.59965,15.725,"Belfast Centre"
"158",2023-01-07 13:00:00,"Belfast Centre",-5.928833,54.59965,11.25,"Belfast Centre"
"159",2023-01-07 14:00:00,"Belfast Centre",-5.928833,54.59965,8.95,"Belfast Centre"
"160",2023-01-07 15:00:00,"Belfast Centre",-5.928833,54.59965,9.05,"Belfast Centre"
"161",2023-01-07 16:00:00,"Belfast Centre",-5.928833,54.59965,13.35,"Belfast Centre"
"162",2023-01-07 17:00:00,"Belfast Centre",-5.928833,54.59965,12.95,"Belfast Centre"
"163",2023-01-07 18:00:00,"Belfast Centre",-5.928833,54.59965,10.6,"Belfast Centre"
"164",2023-01-07 19:00:00,"Belfast Centre",-5.928833,54.59965,8.7,"Belfast Centre"
"165",2023-01-07 20:00:00,"Belfast Centre",-5.928833,54.59965,12,"Belfast Centre"
"166",2023-01-07 21:00:00,"Belfast Centre",-5.928833,54.59965,8.4,"Belfast Centre"
"167",2023-01-07 22:00:00,"Belfast Centre",-5.928833,54.59965,8.475,"Belfast Centre"
"168",2023-01-07 23:00:00,"Belfast Centre",-5.928833,54.59965,13.5,"Belfast Centre"
"169",2023-01-01 00:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,10.628,"Belfast Stockman's Lane"
"170",2023-01-01 01:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,8.696,"Belfast Stockman's Lane"
"171",2023-01-01 02:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,14.493,"Belfast Stockman's Lane"
"172",2023-01-01 03:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,8.696,"Belfast Stockman's Lane"
"173",2023-01-01 04:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,5.797,"Belfast Stockman's Lane"
"174",2023-01-01 05:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,10.628,"Belfast Stockman's Lane"
"175",2023-01-01 06:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,11.594,"Belfast Stockman's Lane"
"176",2023-01-01 07:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,6.763,"Belfast Stockman's Lane"
"177",2023-01-01 08:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,8.696,"Belfast Stockman's Lane"
"178",2023-01-01 09:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,11.594,"Belfast Stockman's Lane"
"179",2023-01-01 10:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,15.459,"Belfast Stockman's Lane"
"180",2023-01-01 11:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,7.73,"Belfast Stockman's Lane"
"181",2023-01-01 12:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,16.425,"Belfast Stockman's Lane"
"182",2023-01-01 13:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,7.73,"Belfast Stockman's Lane"
"183",2023-01-01 14:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,9.662,"Belfast Stockman's Lane"
"184",2023-01-01 15:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,16.425,"Belfast Stockman's Lane"
"185",2023-01-01 16:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,17.392,"Belfast Stockman's Lane"
"186",2023-01-01 17:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,9.662,"Belfast Stockman's Lane"
"187",2023-01-01 18:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,18.358,"Belfast Stockman's Lane"
"188",2023-01-01 19:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,13.527,"Belfast Stockman's Lane"
"189",2023-01-01 20:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,14.493,"Belfast Stockman's Lane"
"190",2023-01-01 21:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,8.696,"Belfast Stockman's Lane"
"191",2023-01-01 22:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,9.662,"Belfast Stockman's Lane"
"192",2023-01-01 23:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,13.527,"Belfast Stockman's Lane"
"193",2023-01-02 00:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,15.459,"Belfast Stockman's Lane"
"194",2023-01-02 01:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,16.425,"Belfast Stockman's Lane"
"195",2023-01-02 02:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,12.561,"Belfast Stockman's Lane"
"196",2023-01-02 03:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,14.493,"Belfast Stockman's Lane"
"197",2023-01-02 04:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,10.628,"Belfast Stockman's Lane"
"198",2023-01-02 05:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,8.696,"Belfast Stockman's Lane"
"199",2023-01-02 06:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,6.763,"Belfast Stockman's Lane"
"200",2023-01-02 07:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,5.797,"Belfast Stockman's Lane"
"201",2023-01-02 08:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,6.763,"Belfast Stockman's Lane"
"202",2023-01-02 09:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,12.561,"Belfast Stockman's Lane"
"203",2023-01-02 10:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,8.696,"Belfast Stockman's Lane"
"204",2023-01-02 11:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,14.493,"Belfast Stockman's Lane"
"205",2023-01-02 12:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,6.763,"Belfast Stockman's Lane"
"206",2023-01-02 13:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,10.628,"Belfast Stockman's Lane"
"207",2023-01-02 14:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,10.628,"Belfast Stockman's Lane"
"208",2023-01-02 15:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,15.459,"Belfast Stockman's Lane"
"209",2023-01-02 16:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,17.392,"Belfast Stockman's Lane"
"210",2023-01-02 17:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,29.952,"Belfast Stockman's Lane"
"211",2023-01-02 18:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,34.783,"Belfast Stockman's Lane"
"212",2023-01-02 19:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,62.803,"Belfast Stockman's Lane"
"213",2023-01-02 20:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,70.533,"Belfast Stockman's Lane"
"214",2023-01-02 21:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,74.397,"Belfast Stockman's Lane"
"215",2023-01-02 22:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,68.6,"Belfast Stockman's Lane"
"216",2023-01-02 23:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,62.803,"Belfast Stockman's Lane"
"217",2023-01-03 00:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,2.899,"Belfast Stockman's Lane"
"218",2023-01-03 01:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,10.628,"Belfast Stockman's Lane"
"219",2023-01-03 02:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,10.628,"Belfast Stockman's Lane"
"220",2023-01-03 03:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,14.493,"Belfast Stockman's Lane"
"221",2023-01-03 04:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,5.797,"Belfast Stockman's Lane"
"222",2023-01-03 05:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,2.899,"Belfast Stockman's Lane"
"223",2023-01-03 06:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,3.865,"Belfast Stockman's Lane"
"224",2023-01-03 07:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,12.561,"Belfast Stockman's Lane"
"225",2023-01-03 08:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,14.493,"Belfast Stockman's Lane"
